result_id,event_title,edition,edition_id,sport,sport_url,result_date,result_location,result_participants,result_format,result_detail,,,
307037,"Kayak Singles, 1,000 metres, Men",2012 Summer Olympics,54,Canoe Sprint,/editions/54/sports/CSP,6 –  8 August 2012,"Eton Dorney, Windsor",22 from 22 countries,na,na,,,
17825,"Half-Middleweight (≤78 kilograms), Men",1996 Summer Olympics,24,Judo,/editions/24/sports/JUD,23 July 1996,"Georgia World Congress Center, Atlanta, Georgia (Hall H)",34 from 34 countries,"Two single-elimination pools, with winner of each pool advanced to the final. All judoka losing to the finalists in each pool advanced to repêchage pools, with the winners of the repêchage pools earning bronze medals.",na,,,
305333,"Heavyweight (≤91 kilograms), Men",2012 Summer Olympics,54,Boxing,/editions/54/sports/BOX,1 – 11 August 2012,"ExCeL, Newham, London",14 from 14 countries,Single elimination tournament.,na,,,
70221,"Parallel Bars, Men",1960 Summer Olympics,15,Artistic Gymnastics,/editions/15/sports/GAR,5 – 10 September 1960 — 08:00-17:00,"Terme di Caracalla, Roma",129 from 28 countries,na,na,,,
22107,"Welterweight (≤147 pounds), Men",1936 Summer Olympics,11,Boxing,/editions/11/sports/BOX,10 – 15 August 1936,"Deutschlandhalle, Berlin",24 from 24 countries,Single elimination tournament.,na,,,
70178,"Floor Exercise, Women",1952 Summer Olympics,13,Artistic Gymnastics,/editions/13/sports/GAR,22 – 23 July 1952 — 08:00-14:00 (both days),"Messuhalli II, Helsinki",134 from 18 countries,Placement determined by best scores on apparatus in individual all-around event.,na,,,
2007,"20 kilometres, Women",1984 Winter Olympics,42,Cross Country Skiing,/editions/42/sports/CCS,18 February 1984 — 8:45,"Veliko Polje, Igman",40 from 13 countries,na,Course Length: ?Height Differential: 76 mIntermediate 1: 3.5 kmIntermediate 2: 10.0 kmIntermediate 3: 13.5 kmMaximum Climb: 24 mTotal Climbing: 530 m,,,
19000438,"110 metres Hurdles, Men",2020 Summer Olympics,61,Athletics,/editions/61/sports/ATH,3 –  5 August 2021,"Japan National Stadium, Kasumigaoka, Shinjuku, Tokyo",40 from 28 countries,na,na,,,
70105,"Horse Vault, Men",1932 Summer Olympics,10,Artistic Gymnastics,/editions/10/sports/GAR,10 August 1932 — 8:00,"Los Angeles Memorial Coliseum, Los Angeles, California",10 from 4 countries,"Separate competition unrelated to all-around, with specialists allowed to compete on the apparatus.  Score based on two compulsory and two optional vaults on apparatus.",na,,,
155046,"Individual Time Trial, Women",2000 Summer Olympics,25,Cycling Road,/editions/25/sports/CRD,30 September 2000 — 9:00,"Cycling Road Course, Centennial Parklands, Sydney, New South Wales",23 from 13 countries,31.2 km. (19.4 miles).,na,,,
85971,"Sabre, Individual, Men",1948 Summer Olympics,12,Fencing,/editions/12/sports/FEN,12 – 13 August 1948,"Palace of Engineering, Wembley, London",60 from 24 countries,na,na,,,
925682,"2 miles, Handicap - Olympic Open Handicap Meeting, Men",1904 Summer Olympics,3,Athletics,/editions/3/sports/ATH,21 May 1904,"Francis Field, Washington University, St. Louis",4 from 1 countries,na,na,,,
70451,"Uneven Bars, Women",1976 Summer Olympics,19,Artistic Gymnastics,/editions/19/sports/GAR,18 – 22 July 1976 — 19:30,"Le Forum de Montréal, Montréal, Québec",86 from 18 countries,na,na,,,
19019814,"Curling, Women",2022 Winter Olympics,62,Curling,/editions/62/sports/CUR,10 – 20 February 2022,"Beijing Guojia Youyong Zhongxin, Beijing Aolinpike Gongyuan, Beijing",44 from 10 countries,"Round-robin pool, followed by single-elimination medal round.",na,,,
1395,"Downhill, Women",1992 Winter Olympics,44,Alpine Skiing,/editions/44/sports/ALP,15 February 1992 — 11:15,Méribel,30 from 12 countries,na,IFR,,,
1592,"7.5 kilometres Sprint, Women",2002 Winter Olympics,47,Biathlon,/editions/47/sports/BTH,13 February 2002 — 13:30,"Soldier Hollow, Wasatch Mountain State Park",74 from 27 countries,Penalty loop (150 metres) skied for each missed target.,"Course Length: 7,623 mHeight Differential: 47 mMaximum Climb: 31 mShooting 1: Prone at 2.5 km, 50 m rangeShooting 2: Standing at 5.5 km, 50 m rangeTotal Climbing: 241 m",,,
925408,"Eights, Boys",1900 Summer Olympics,2,Rowing,/editions/2/sports/ROW,26 August 1900,"Seine, Pont de Courbevoie – Pont d'Asnières, Paris",25 from 2 countries,na,na,,,
351240,"Team, Women",2016 Summer Olympics,59,Archery,/editions/59/sports/ARC,5 –  6 August 2016,"Sambódromo, Rio de Janeiro",36 from 12 countries,"Teams consisted of three archers.  Ranking rounds scores based on scores carried over from individual ranking round.  Tie-breaking for the final placements was done by the following method.  Losers in each round were ranked according to the score they shot in that round.  Ties in that round were broken by the number of 10s shot in that round and then the number of 9s shot in that round.  If still tied the score in the preceding round was used as the tie-breaker, followed by number of 10s, and then number of 9s in the preceding round.  Team event shot entirely at 70 metres.  Matches consisted of 27 arrows, 9 per archer.",na,,,
261390,"Small-Bore Rifle, Prone, 50 metres, Men",2008 Summer Olympics,53,Shooting,/editions/53/sports/SHO,15 August 2008,"Beijing Shejiguan, Beijing",56 from 37 countries,na,na,,,
56511,"Hammer Throw, Men",1908 Summer Olympics,5,Athletics,/editions/5/sports/ATH,14 July 1908 — 10:00,"White City Stadium, London",19 from 8 countries,na,na,,,
18001576,"Softball, Women",2020 Summer Olympics,61,Softball,/editions/61/sports/SOF,21 – 27 July 2021,"Yokohama Sutajiamu, Yokohama / Fukushima Azuma Baseball Stadium, Fukushima",90 from 6 countries,"Round-robin tournament, with the top four teams progressing to medal round.",na,,,
925803,"220 yards - Interscholastic Championships, Boys",1904 Summer Olympics,3,Athletics,/editions/3/sports/ATH,30 June 1904,"Francis Field, Washington University, St. Louis",3 from 1 countries,na,na,,,
1999,"30 kilometres, Men",1984 Winter Olympics,42,Cross Country Skiing,/editions/42/sports/CCS,10 February 1984 — 8:30,"Veliko Polje, Igman",72 from 26 countries,na,Course Length: ?Height Differential: 134 mIntermediate 1: 6.8 kmIntermediate 2: 15.0 kmIntermediate 3: 21.8 kmMaximum Climb: 36 mTotal Climbing: 910 m,,,
255897,"Kayak Singles, 500 metres, Women",1988 Summer Olympics,22,Canoe Sprint,/editions/22/sports/CSP,26 – 30 September 1988,"Mi-sa-ri Jo-jeong-gyeong-gi-jang, Hanam",15 from 15 countries,na,na,,,
905282,"Aerials, Men",1988 Winter Olympics,43,Freestyle Skiing,/editions/43/sports/FRS,21 February 1988 — 13:30,"Canada Olympic Park, Calgary (Moguls)",14 from 10 countries,na,na,,,
5241,"100 metres Freestyle, Men",1952 Summer Olympics,13,Swimming,/editions/13/sports/SWM,26 – 27 July 1952,"Helsingin Uimastadion, Helsinki",60 from 33 countries,na,na,,,
1086,"1,500 metres, Men",1994 Winter Olympics,45,Speed Skating,/editions/45/sports/SSK,16 February 1994 — 14:00,"Olympiahall, Hamar",44 from 17 countries,na,na,,,
43504,"Duet, Women",1984 Summer Olympics,21,Artistic Swimming,/editions/21/sports/SWA,6 –  9 August 1984 — 10:00,"Olympic Swim Stadium, University of Southern California, Los Angeles, California",36 from 18 countries,na,na,,,
157896,"Coxless Pairs, Men",1932 Summer Olympics,10,Rowing,/editions/10/sports/ROW,10 – 13 August 1932,"Long Beach Marine Stadium, Long Beach, California",12 from 6 countries,na,na,,,
33519,"Football, Men",1908 Summer Olympics,5,Football,/editions/5/sports/FBL,19 – 24 October 1908,"White City Stadium, London",72 from 5 countries,Single-elimination tournament.,na,,,
18000130,"Kumite, ≤67 kg, Men",2020 Summer Olympics,61,Karate,/editions/61/sports/KTE, 5 August 2021,"Nippon Budokan, Chiyoda, Tokyo",11 from 11 countries,na,na,,,
900533,"Middleweight (≤66 kilograms), Women",1988 Summer Olympics,22,Judo,/editions/22/sports/JUD,29 September 1988,"Jang-chung Che-yuk-gwan, Seoul",8 from 8 countries,na,na,,,
44260,"Doubles, Men",1908 Summer Olympics,5,Tennis,/editions/5/sports/TEN,6 – 11 July 1908,"All-England Lawn Tennis & Croquet Club, Wimbledon",24 from 8 countries,Single-elimination tournament.,na,,,
925094,"Closest landing to target (#3), Combined, Open",1900 Summer Olympics,2,Ballooning,/editions/2/sports/BLN,19 August 1900,"L'Aérostation, Parc de Vincennes, Paris",22 from 1 countries,"Two required stops at the station of Dammartin, Seine-et-Oise and the station of Nanteuil-le-Haudoin, Oise. Total of distance from these two stops.",na,,,
159217,"Coxless Pairs, Men",1992 Summer Olympics,23,Rowing,/editions/23/sports/ROW,27 July –  1 August 1992,"Lago de Bañolas, Bañolas",38 from 19 countries,na,na,,,
125850,"Middleweight, Freestyle (≤87 kilograms), Men",1968 Summer Olympics,17,Wrestling,/editions/17/sports/WRE,17 – 20 October 1968,"Pista de Hielo Insurgentes, Ciudad de México",22 from 22 countries,"Scoring by negative points, with negative points given for any result short of a fall.  Accumulation of 6 negative points eliminated the wrestler. When three or fewer wrestlers remained, they advanced to a final round, with preliminary results carried forward.",na,,,
20280,"Ice Hockey, Men",1964 Winter Olympics,37,Ice Hockey,/editions/37/sports/IHO,27 January –  9 February 1964,"Olympiaeisstadion, Innsbruck / Kunsteisbahn, Messehalle, Innsbruck",270 from 16 countries,Qualifying round placed teams into final and consolation round-robin pools.,na,,,
1215,"Giant Slalom, Men",1960 Winter Olympics,36,Alpine Skiing,/editions/36/sports/ALP,21 February 1960 — 10:00,"KT-22, Squaw Valley, California",65 from 21 countries,na,USA,,,
6666,"100 metres Breaststroke, Women",1976 Summer Olympics,19,Swimming,/editions/19/sports/SWM,22 – 24 July 1976,"Piscine olympique, Montréal, Québec",38 from 22 countries,na,na,,,
926086,"Eights, Intermediate, Men",1904 Summer Olympics,3,Rowing,/editions/3/sports/ROW,29 July 1904,"Creve Coeur Lake, Maryland Heights",18 from 1 countries,na,na,,,
44116,"Doubles, Men",1904 Summer Olympics,3,Tennis,/editions/3/sports/TEN,31 August –  3 September 1904,"Dirt Courts near Francis Field, Washington University, St. Louis",30 from 2 countries,Single-elimination tournament.,na,,,
357717,"Épée, Team, Men",2016 Summer Olympics,59,Fencing,/editions/59/sports/FEN,14 August 2016,"Arena Carioca 3, Parque Olímpico da Barra, Barra da Tijuca, Rio de Janeiro",36 from 9 countries,Single-elimination tournament.,na,,,
9694,"Two Person Heavyweight Dinghy (Flying Dutchman), Open",1960 Summer Olympics,15,Sailing,/editions/15/sports/SAL,29 August –  7 September 1960,Golfo di Napoli (Campo Giallo),64 from 31 countries,Points awarded for placement in each race.  Best six of seven scores to count for final placement.,na,,,
29879,"Super-Heavyweight (>110 kilograms), Men",1984 Summer Olympics,21,Weightlifting,/editions/21/sports/WLF, 8 August 1984 — 18:00,"Albert Gersten Pavilion, Loyola Marymount University, Los Angeles, California, USA",9 from 7 countries,Total of best lifts in snatch and clean & jerk determined placement.  Ties broken by lightest bodyweight.,na,,,
70109,"Pommelled Horse, Men",1932 Summer Olympics,10,Artistic Gymnastics,/editions/10/sports/GAR,11 August 1932 — 8:00,"Los Angeles Memorial Coliseum, Los Angeles, California",10 from 5 countries,"Separate competition unrelated to all-around, with specialists allowed to compete on the apparatus.  Score based on compulsory and optional exercises on apparatus.",na,,,
154433,"Team Pursuit, 4,000 metres, Men",1980 Summer Olympics,20,Cycling Track,/editions/20/sports/CTR,25 – 26 July 1980,"Velotrek, Sportivny kompleks Krylatskoye, Moskva",53 from 13 countries,na,na,,,
158768,"Coxed Fours, Women",1976 Summer Olympics,19,Rowing,/editions/19/sports/ROW,19 – 24 July 1976,"Bassin olympique, Île Notre Dame, Montréal, Québec",40 from 8 countries,na,na,,,
4816,"100 metres Backstroke, Women",1924 Summer Olympics,8,Swimming,/editions/8/sports/SWM,19 – 20 July 1924,"Piscine des Tourelles, Saint-Mandé",10 from 5 countries,na,na,,,
901110,"Finweight (≤ 43 kilograms), Women",1992 Summer Olympics,23,Taekwondo,/editions/23/sports/TKW, 5 August 1992,"Palau Blaugrana, Barcelona",7 from 7 countries,na,na,,,
1856,"Moguls, Men",2002 Winter Olympics,47,Freestyle Skiing,/editions/47/sports/FRS,12 February 2002,"Deer Valley Resort, Deer Valley, Utah",30 from 12 countries,na,Gradient: 28°Length: 262 mStart Elevation: ?Vertical Drop: ?Width: 10 m,,,
356798,"Team Sprint, Men",2016 Summer Olympics,59,Cycling Track,/editions/59/sports/CTR,11 August 2016,"Velódromo Olímpico do Rio, Parque Olímpico da Barra, Barra da Tijuca, Rio de Janeiro",28 from 9 countries,na,na,,,
7457,"50 metres Freestyle, Women",1988 Summer Olympics,22,Swimming,/editions/22/sports/SWM,25 September 1988,"Su-yeong-jang, Ol-lim-pik Gong-won, Seoul",50 from 33 countries,na,na,,,
1504,"Giant Slalom, Women",2006 Winter Olympics,49,Alpine Skiing,/editions/49/sports/ALP,24 February 2006,Sestriere Colle (Sises),62 from 37 countries,"Two runs, total time determined placement.",Gates: 42Length: ?Start Altitude: 2370 mVertical Drop: 340 m,,,
263087,"Lightweight (≤58 kilograms), Women",2008 Summer Olympics,53,Weightlifting,/editions/53/sports/WLF,11 August 2008 — 15:30,"Beijing Hangkong Hangtian Daxue Tiyuguan, Beijing",12 from 11 countries,Total of best lifts in snatch and clean & jerk determined placement.  Ties broken by lightest bodyweight.,na,,,
19019868,"Doubles, Mixed",2022 Winter Olympics,62,Curling,/editions/62/sports/CUR,2 –  8 February 2022,"Beijing Guojia Youyong Zhongxin, Beijing Aolinpike Gongyuan, Beijing",20 from 10 countries,"Round-robin pool, followed by single-elimination medal round.",na,,,
65610,"Decathlon, Men",2000 Summer Olympics,25,Athletics,/editions/25/sports/ATH,27 – 28 September 2000,"Olympic Stadium, Olympic Park, Sydney, New South Wales",38 from 23 countries,Scoring by 1985 point tables.,na,,,
261351,"Skiff (49er), Open",2008 Summer Olympics,53,Sailing,/editions/53/sports/SAL,10 – 17 August 2008,"Qingdao Aolinpike Fanchuan Zhongxin, Qingdao",38 from 19 countries,Points awarded for placement in each race.  Best 12 of 13 scores to count for final placement. Medal race points count double.,na,,,
74111,"Foil, Individual, Men",1924 Summer Olympics,8,Fencing,/editions/8/sports/FEN,1 –  4 July 1924,"Vélodrome d'Hiver, Paris",49 from 17 countries,na,na,,,
109764,"Foil, Team, Men",1988 Summer Olympics,22,Fencing,/editions/22/sports/FEN,26 – 27 September 1988,"Pen-sing Gyeong-ji-jang, Ol-lim-pik Gong-won, Seoul",76 from 16 countries,na,na,,,
255454,"Kayak Singles, 1,000 metres, Men",1976 Summer Olympics,19,Canoe Sprint,/editions/19/sports/CSP,29 – 31 July 1976,"Bassin olympique, Île Notre Dame, Montréal, Québec",19 from 19 countries,na,na,,,
925123,"100 kilometres, Professionals, Men",1900 Summer Olympics,2,Cycling Track,/editions/2/sports/CTR,13 September 1900,"Vélodrome Municipal de Vincennes, Paris",12 from 5 countries,na,na,,,
2148,"4 × 10 kilometres Relay, Men",2006 Winter Olympics,49,Cross Country Skiing,/editions/49/sports/CCS,19 February 2006 — 10:00,"Stadio del Trampolino, Pragelato Plan",64 from 16 countries,na,"Course Length: 10,000 mHeight Differential: 59 mMaximum Climb: 54 mTotal Climbing: 376 m",,,
1503,"Super G, Women1",2006 Winter Olympics,49,Alpine Skiing,/editions/49/sports/ALP,20 February 2006 — 14:45,San Sicario Fraìteve (Fraiteve Olympique),54 from 23 countries,na,AUT,,,
1657,"Halfpipe, Men",2002 Winter Olympics,47,Snowboarding,/editions/47/sports/SBD,11 February 2002,"Park City Mountain Resort, Park City, Utah",33 from 12 countries,na,Gradient: 16°Length: 155 mWall Height: 4.9 mWall-to-Wall Width: 16.5 m,,,
13332,"Pairs, Mixed",1972 Winter Olympics,39,Figure Skating,/editions/39/sports/FSK,6 –  8 February 1972,"Makomanai Indoor Skating Rink, Sapporo",32 from 9 countries,"Each judge ranked each pair by Ordinal Placement from first through last place.  The Ordinal Placement for each judge was based on Total Points awarded by that judge to the pairs.  The points were based on 25% for the Original Program, and 75% for Free Skating.  Final placement was determined by a Majority Placement rule.  Thus, if a pair were ranked first by a majority of the judges, that pair was placed first overall, and the process was repeated for each place.  Ties were broken by a Subsequent Majority rule, i.e., if the pairs were ranked for the same position by the same number of judges, Majority Placement for the next higher position for each pair determined who was ranked higher.  The tiebreakers were then, in order, 1) Number of Majority Placements, 2) Total Ordinals of Majority, 3) Total Ordinals, 4) Total Points.",na,,,
21892,"Featherweight (≤126 pounds), Men",1932 Summer Olympics,10,Boxing,/editions/10/sports/BOX,9 – 13 August 1932,"Grand Olympic Auditorium, Los Angeles, California",10 from 10 countries,Single elimination tournament.,na,,,
308072,"Team Pursuit, 3,000 metres, Women",2012 Summer Olympics,54,Cycling Track,/editions/54/sports/CTR,3 –  4 August 2012,"Velodrome, London Velopark, Olympic Park, Stratford, London",32 from 10 countries,na,na,,,
2403,"Large Hill, Individual, Men",1980 Winter Olympics,41,Ski Jumping,/editions/41/sports/SJP,23 February 1980,"Intervale Ski Jump Complex, Lake Placid",50 from 16 countries,"Two jumps, with both scored on distance and form.",URS,,,
905194,"Giant Slalom, LW4, Men",1984 Winter Olympics,42,Alpine Skiing,/editions/42/sports/ALP,11 February 1984,Jahorina,5 from 3 countries,na,na,,,
9000298,"10 kilometres (Freestyle), Women",2018 Winter Olympics,60,Cross Country Skiing,/editions/60/sports/CCS,15 February 2018 — 15:30,"Alpensia Cross-Country Centre, Alpensia Resort, Mountain Cluster, Daegwallyeong",90 from 44 countries,na,"Course Length: 10,142 mHeight Differential: 57 mIntermediate 1: 1.6 kmIntermediate 2: 5.0 kmIntermediate 3: 6.2 kmIntermediate 4: 8.4 kmMaximum Climb: 35 mTotal Climbing: 406 m",,,
920063,"Literature, Epic Works, Open",1948 Summer Olympics,12,Art Competitions,/editions/12/sports/ART,29 July – 14 August 1948,"Victoria & Albert Museum, London",13 from 8 countries,na,na,,,
