result_id,event_title,edition,edition_id,sport,sport_url,result_date,result_location,result_participants,result_format,result_detail,,,
50054,"Individual, Men",1948 Summer Olympics,12,Modern Pentathlon,/editions/12/sports/MPN,30 July –  4 August 1948,"Tweseldown Racecourse, Fleet, Hampshire / Army School of Physical Training, Aldershot Military Town / Bisley Rifle Range, Bisley / Aldershot Lido, Aldershot / Royal Military Academy Sandhurst, Sandhurst",45 from 16 countries,Point-for-place scoring.,na,,,
185510,"Individual, Open",2004 Summer Olympics,26,Equestrian Eventing,/editions/26/sports/EVE,15 – 18 August 2004,"Olympiako Kentro Ippasias Markopoulou, Markopoulo",75 from 23 countries,"Dressage, cross-country, and jumping. Top 25 after first round of jumping advanced to second round of jumping - limit of three riders per nation.",na,,,
6756,"200 metres Freestyle, Men",1980 Summer Olympics,20,Swimming,/editions/20/sports/SWM,21 July 1980,"Plavatelny basseyn, Sportivny kompleks Olimpiysky, Moskva",42 from 24 countries,na,na,,,
2382,"Normal Hill, Individual, Men",1968 Winter Olympics,38,Ski Jumping,/editions/38/sports/SJP,11 February 1968,Autrans,58 from 17 countries,"Two jumps, with both scored on distance and form.",URS,,,
63309,"400 metres, Men",1988 Summer Olympics,22,Athletics,/editions/22/sports/ATH,24 – 28 September 1988,"Ol-lim-pik Ju-gyeong-gi-jang, Seoul Sports Complex, Seoul",75 from 55 countries,na,na,,,
350005,"Slalom, Men",2014 Winter Olympics,58,Alpine Skiing,/editions/58/sports/ALP,22 February 2014,"Gornolyzhniy Tsenter Rosa Khutor, Mountain Cluster, Krasnaya Polyana",115 from 61 countries,"Two runs, total time determined placement.",Gates: 60Length: ?Start Altitude: 1160 mVertical Drop: 200 m,,,
51698,"Small-Bore Rifle, Prone, 50 metres, Men",1964 Summer Olympics,16,Shooting,/editions/16/sports/SHO,16 October 1964 — 9:00,"Asaka Shooting Range, Nezu Park, Asaka, Saitama",73 from 43 countries,50 metres prone. 60 shots prone. 600 possible.,na,,,
21178,"Olympic Distance, Women",2004 Summer Olympics,26,Triathlon,/editions/26/sports/TRI,25 August 2004 — 10:00,"Olympiako Kentro Vouliagmenis, Vouliagmeni",50 from 25 countries,na,na,,,
28954,"Light-Heavyweight (≤82½ kilograms), Men",1948 Summer Olympics,12,Weightlifting,/editions/12/sports/WLF,11 August 1948 — 14:30,"Empress Hall, Earls Court Exhibition Centre, Kensington, London",16 from 13 countries,"Total of best lifts in military press, snatch, and clean & jerk determined placement.  Ties broken by lightest bodyweight.",na,,,
57270,"Pentathlon, Men",1920 Summer Olympics,7,Athletics,/editions/7/sports/ATH,16 August 1920,"Olympisch Stadion, Antwerpen",19 from 8 countries,"All compete in the Top three events.  The Top twelve then advanced to the fourth event, the discus throw.  The top six after that event then advance to the final event, the 1,500 metres.",na,,,
7751,"400 metres Individual Medley, Men",1992 Summer Olympics,23,Swimming,/editions/23/sports/SWM,27 July 1992,"Piscinas Bernat Picornell, Barcelona",32 from 25 countries,na,na,,,
122427,"Lightweight, Greco-Roman (≤66 kilograms), Men",1936 Summer Olympics,11,Wrestling,/editions/11/sports/WRE,6 –  9 August 1936,"Deutschlandhalle, Berlin",18 from 18 countries,"Elimination by bad points.  Win by fall = 0 points; win by decision = 1 point; loss by 2-1 decision = 2 points; loss by 3-0 decision = 3 points; loss by fall = 3 points.  Three judges gave decisions, thus all decisions were either 2-1 or 3-0.  Five bad points eliminated a wrestler.",na,,,
61448,"800 metres, Women",1972 Summer Olympics,18,Athletics,/editions/18/sports/ATH,31 August –  3 September 1972,"Olympiastadion, Olympiapark, München",38 from 26 countries,na,na,,,
13722,"Singles, Men",1984 Winter Olympics,42,Figure Skating,/editions/42/sports/FSK,13 – 16 February 1984,"Hala Zetra, Sarajevo / Hala Skenderija II, Sarajevo",23 from 15 countries,"Skaters were ranked on Ordinal Placement, based on judges' points, with final placement for each section determined by Majority Placements.  The tiebreaker for the Short Program was the Required Elements score, while the tiebreaker for the Free Skating was the Artistic Impression score.  Thus, if a skater was ranked first by a majority of the judges, that skater was placed first overall for that section.  Ties were broken by a Subsequent Majority rule, i.e., if the skaters were ranked for the same position by the same number of judges, Majority Placement for the next higher position for each skater determined who was ranked higher.  Final placement was determined by factored placements.  The tiebreakers were then 1) Number of Majority Placements, 2) Total Ordinals of Majority, 3) Total Ordinals.  The placement for the Compulsory Figures was factored by 0.6 (30%), the placement for the short program was factored by 0.4 (20%), and the placement for Free Skating was factored by 1.0 (50%).  The sums of the factored placements were then used to determine final placement, with the Free Skating being the tiebreaker.",na,,,
994,"1,500 metres, Men",1948 Winter Olympics,33,Speed Skating,/editions/33/sports/SSK, 2 February 1948 — 9:30,"Olympia-Eisstadion Badrutts Park, St. Moritz",45 from 14 countries,na,na,,,
38305,"Water Polo, Men",1956 Summer Olympics,14,Water Polo,/editions/14/sports/WPO,28 November –  7 December 1956,"Olympic Park Swimming and Diving Stadium, Melbourne, Victoria",96 from 10 countries,Round-robin pools advanced teams to the round-robin final pool.,na,,,
9000660,"Ice Hockey, Men",2018 Winter Olympics,60,Ice Hockey,/editions/60/sports/IHO,14 – 25 February 2018,"Gangneung Hockey Centre, Gangneung Olympic Park, Coastal Cluster, Gangneung / Kwandong Hockey Centre, Coastal Cluster, Gangneung",282 from 12 countries,"Round-robin pools, followed by single-elimination matches.",na,,,
905276,"5 kilometres, B1, Women",1988 Winter Olympics,43,Cross Country Skiing,/editions/43/sports/CCS,17 February 1988,"Canmore Nordic Centre, Canmore",10 from 3 countries,na,na,,,
925338,"Overall, Men",1900 Summer Olympics,2,Military Exercise,/editions/2/sports/MXC,24 – 25 June 1900,"Jardin des Tuileries, Paris / Bois de Vincennes, Paris 12e, Paris, France",113 from 1 countries,"Overall ranking based on Preparatory Military Training, Complementary Military Training and Free Exercise.",na,,,
6835,"4 x 200 metres Freestyle Relay, Men",1980 Summer Olympics,20,Swimming,/editions/20/sports/SWM,23 July 1980,"Plavatelny basseyn, Sportivny kompleks Olimpiysky, Moskva",62 from 13 countries,na,na,,,
358406,"Individual, Open",2016 Summer Olympics,59,Equestrian Dressage,/editions/59/sports/EDR,10 – 15 August 2016,"Centro Olímpico de Hipismo, Parque Olímpico de Deodoro, Deodoro, Rio de Janeiro",60 from 25 countries,na,na,,,
70322,"Team All-Around, Women",1968 Summer Olympics,17,Artistic Gymnastics,/editions/17/sports/GAR,21 – 23 October 1968 — 08:30-17:00,"Auditorio Nacional, Ciudad de México",82 from 14 countries,Six-person teams.  Each gymnast to perform a compulsory and an optional exercise on all four apparatuses.  Top five scores per team on each of the eight exercises count towards the team score.,na,,,
37192,"Volleyball, Women",1972 Summer Olympics,18,Volleyball,/editions/18/sports/VVO,27 August –  7 September 1972,"Volleyballhalle, Olympiapark, München",91 from 8 countries,Round-robin pools advanced teams to classification matches.,na,,,
28560,"Heavyweight (>82½ kilograms), Men",1920 Summer Olympics,7,Weightlifting,/editions/7/sports/WLF,31 August 1920 — 14:00,"Olympisch Stadion, Antwerpen",6 from 5 countries,Total of best lifts in three phases determined placement.,na,,,
18000492,"Individual, Men",2020 Summer Olympics,61,Archery,/editions/61/sports/ARC,23 – 31 July 2021,"Yumenoshima Park Archery Field, Koto, Tokyo",64 from 40 countries,"Ranking round consisted of 72 arrows at 70 m.  Matches consisted of up to 5 sets of 3 arrows, first player to reach 6 points.  Tie-breaking for the final placements was done by the following method.  Losers in each round were ranked according to the score they shot in that round.  Matches shot entirely at 70 metres.",na,,,
1909,"4 × 10 kilometres Relay, Men",1952 Winter Olympics,34,Cross Country Skiing,/editions/34/sports/CCS,23 February 1952 — 12:00,"Holmenkollen Langrennssentret, Oslo",52 from 13 countries,na,Course Length: ?Height Differential: 160 m / 140 mMaximum Climb: ?Total Climbing: ?,,,
38727,"Water Polo, Men",1988 Summer Olympics,22,Water Polo,/editions/22/sports/WPO,21 September –  1 October 1988,"Su-yeong-jang, Ol-lim-pik Gong-won, Seoul / Jam-sil Su-yeong-jang, Seoul Sports Complex, Seoul",156 from 12 countries,Round-robin pools advanced teams to classification matches.,na,,,
19000682,"200 metres, Women",2020 Summer Olympics,61,Athletics,/editions/61/sports/ATH,2 –  3 August 2021,"Japan National Stadium, Kasumigaoka, Shinjuku, Tokyo",41 from 31 countries,na,na,,,
925089,"Kites (medium), Open",1900 Summer Olympics,2,Ballooning,/editions/2/sports/BLN,27 September 1900,"L'Aérostation, Parc de Vincennes, Paris",3 from 1 countries,na,na,,,
8757,"100 metres Freestyle, Men",2004 Summer Olympics,26,Swimming,/editions/26/sports/SWM,17 – 18 August 2004,"Olympiako Kentro Ugrou Stivou, Olympiako Athletiko Kentro Athinon Spiros Loues, Athina (Main Pool)",69 from 62 countries,na,na,,,
901088,"Middleweight (≤ 83 kilograms), Men",1992 Summer Olympics,23,Taekwondo,/editions/23/sports/TKW, 4 August 1992,"Palau Blaugrana, Barcelona",8 from 8 countries,na,na,,,
51598,"Trap, Men",1920 Summer Olympics,7,Shooting,/editions/7/sports/SHO,23 – 24 July 1920 — 9:30,"Hoogboom Country Club, Kapellen",18 from 7 countries,15 metre distance. Two shots given at a target. 100 targets - 90 targets from a known trap with an unknown angle using a continuous-fire system [Round 1 - 35 targets, Round 2 - 35 targets, 10 targets with two men up from an unknown trap at an unknown angle [Round 4 - 10 targets]. Best 50% and ties advanced to the second stage.  Best 50% and ties advanced to the third stage.,na,"The United States dominated this event, taking the first five places. The champion was Mark Arie, one of the most colorful and popular shooters in American history. His career began in 1905 and he competed at the Grand American Handicap for over 30 years. He first won the Grand American in 1912 and added his second title in the event 22 years later, in 1934. In addition to his gold medal, Arie was awarded possession of the Challenge Prize that had been donated by Lord Westbury.
"
19004818,"Doubles, Mixed",2020 Summer Olympics,61,Tennis,/editions/61/sports/TEN,28 July –  1 August 2021,"Ariake Tennis Forest Park, Ariake, Koto, Tokyo, Japan",32 from 14 countries,Single-elimination tournament.,na,,,
258959,"Individual Time Trial, Men",2008 Summer Olympics,53,Cycling Road,/editions/53/sports/CRD,13 August 2008 — 13:30,"Gonglu Zixingche Saichang, Juyongguan",39 from 29 countries,47.3 km.,na,,,
259979,"Pommelled Horse, Men",2008 Summer Olympics,53,Artistic Gymnastics,/editions/53/sports/GAR,9 – 17 August 2008,"Guojia Tiyuguan, Beijing Aolinpike Gongyuan, Beijing",76 from 27 countries,na,na,,,
925297,"Maneuvering, International, British Firefighters, Men",1900 Summer Olympics,2,Firefighting,/editions/2/sports/FFG,13 – 19 August 1900,"Champ de Courses, Bois de Vincennes, Paris",24 from 1 countries,na,na,,,
34224,"Football, Men",2004 Summer Olympics,26,Football,/editions/26/sports/FBL,11 – 28 August 2004,"Olympiako Stadio, Olympiako Athletiko Kentro Athinon Spiros Loues, Maroussi / Ethniko Kaftanzogleio Stadio Thessalonikis, Thessaloniki / Stadio Georgios Karaiskakis, Athina / Pampeloponnisiako Stadio, Patras / Pankritio Stadio, Iraklion / Panthessaliko Stadio, Volos",259 from 16 countries,Round-robin pools advance teams to single-elimination tournament of eight teams.,na,,,
117525,"Épée, Team, Women",2004 Summer Olympics,26,Fencing,/editions/26/sports/FEN,20 August 2004,"Aithousa Ksifaskias, Olympiako Syngrotima Ellenikou, Hellinikon",32 from 9 countries,Single-elimination tournament.,na,,,
64204,"Shot Put, Men",1992 Summer Olympics,23,Athletics,/editions/23/sports/ATH,31 July 1992,"Estadio Olímpico de Montjuïc, Barcelona",26 from 18 countries,na,na,,,
131425,"Flyweight, Greco-Roman (≤52 kilograms), Men",1992 Summer Olympics,23,Wrestling,/editions/23/sports/WRE,26 – 28 July 1992,"Instituto Nacional de Educación Física de Cataluña (INEFC), Barcelona",17 from 17 countries,Two groups (A and B).  Double elimination tournament within each group.  Top five in each group advance to placement matches for 1st-10th place.,na,,,
925734,"Discus Throw, Handicap - AAU Handicap Meet, Men",1904 Summer Olympics,3,Athletics,/editions/3/sports/ATH, 2 June 1904,"Francis Field, Washington University, St. Louis",3 from 1 countries,na,na,,,
1938,"50 kilometres, Men",1964 Winter Olympics,37,Cross Country Skiing,/editions/37/sports/CCS, 5 February 1964 — 8:30,"Langlaufstadion, Seefeld",41 from 14 countries,na,"Course Length: ?Height Differential: 196 mIntermediate 1: 10.0 kmIntermediate 2: 25.0 kmIntermediate 3: 35.0 kmMaximum Climb: 98 mTotal Climbing: 1,578 m",,,
40541,"Individual, Men",1972 Summer Olympics,18,Archery,/editions/18/sports/ARC,7 – 10 September 1972,"Bogenschießanlage, Englischer Garten, München",55 from 24 countries,"Double FITA Round.  FITA Round consists of 36 arrows at 30 metres, 50 metres, 70 metres, and 90 metres, or 144 arrows.  Double FITA Round consists of 288 arrows total.",na,,,
900428,"Singles, Women",1984 Summer Olympics,21,Tennis,/editions/21/sports/TEN,6 – 10 August 1984,"Los Angeles Tennis Center, Los Angeles, California",32 from 22 countries,na,na,,,
7229,"4 x 100 metres Freestyle Relay, Women",1984 Summer Olympics,21,Swimming,/editions/21/sports/SWM,31 July 1984,"Olympic Swim Stadium, University of Southern California, Los Angeles, California",54 from 12 countries,na,na,,,
350672,"Team Pursuit (6 laps), Women",2014 Winter Olympics,58,Speed Skating,/editions/58/sports/SSK,21 – 22 February 2014,"Adler-Arena, Coastal Cluster, Adler",30 from 8 countries,Single-elimination event.,na,,,
129845,"Lightweight, Freestyle (≤68 kilograms), Men",1988 Summer Olympics,22,Wrestling,/editions/22/sports/WRE,29 September –  1 October 1988,"Sang-mu Che-yuk-gwan, Seongnam",30 from 30 countries,Two groups (A and B).  Double elimination tournament within each group.  Top four in each group advance to placement matches for 1st-8th place.,na,,,
9043,"100 metres Butterfly, Women",2004 Summer Olympics,26,Swimming,/editions/26/sports/SWM,14 – 15 August 2004,"Olympiako Kentro Ugrou Stivou, Olympiako Athletiko Kentro Athinon Spiros Loues, Athina (Main Pool)",38 from 30 countries,na,na,,,
19016471,"Foil, Team, Men",2020 Summer Olympics,61,Fencing,/editions/61/sports/FEN, 1 August 2021,"Makuhari Messe, 2-1, Nakase, Mihama-ku, Chiba, Chiba Prefecture, Japan",34 from 9 countries,Single-elimination tournament.,na,,,
925844,"Long Jump - Olympic Irish Sports, Men",1904 Summer Olympics,3,Athletics,/editions/3/sports/ATH,20 July 1904,"Francis Field, Washington University, St. Louis",3 from 2 countries,na,na,,,
260100,"Hockey, Men",2008 Summer Olympics,53,Hockey,/editions/53/sports/HOC,11 – 23 August 2008,"Beijing Aolinpike Gongyuan Qugunqiu Chang, Beijing Aolinpike Gongyuan, Beijing",196 from 12 countries,Round-robin pools advance teams to classification round matches.,na,,,
6773,"1,500 metres Freestyle, Men",1980 Summer Olympics,20,Swimming,/editions/20/sports/SWM,21 – 22 July 1980,"Plavatelny basseyn, Sportivny kompleks Olimpiysky, Moskva",17 from 11 countries,na,na,,,
9000815,"Large Hill, Individual, Men",2018 Winter Olympics,60,Ski Jumping,/editions/60/sports/SJP,16 – 17 February 2018,"Alpensia Ski Jumping Centre, Alpensia Resort, Mountain Cluster, Daegwallyeong",57 from 19 countries,na,K-Point: 125 m,,,
19005674,"Lightweight (57-63 kilograms), Men",2020 Summer Olympics,61,Boxing,/editions/61/sports/BOX,25 July –  8 August 2021,"Ryōgoku Kokugikan, Sumida, Tokyo, Japan",29 from 29 countries,Single elimination tournament.,na,,,
158888,"Coxed Fours, Women",1980 Summer Olympics,20,Rowing,/editions/20/sports/ROW,21 – 26 July 1980,"Grebnoy kanal, Sportivny komplex Krylatskoye, Moskva",31 from 6 countries,na,na,,,
65559,"Discus Throw, Men",2000 Summer Olympics,25,Athletics,/editions/25/sports/ATH,24 – 25 September 2000,"Olympic Stadium, Olympic Park, Sydney, New South Wales",45 from 28 countries,na,na,,,
924254,"Two, Women",2010 Winter Olympics,57,Bobsleigh,/editions/57/sports/BOB,23 – 24 February 2010,"Whistler Sliding Centre, Whistler",42 from 13 countries,"Four runs, total time determined placement.",Curves: 16Length: 1450 mStart Altitude: 928 mVertical Drop: 148 m,,,
28940,"Middleweight (≤75 kilograms), Men",1948 Summer Olympics,12,Weightlifting,/editions/12/sports/WLF,10 August 1948 — 19:00,"Empress Hall, Earls Court Exhibition Centre, Kensington, London",24 from 18 countries,"Total of best lifts in military press, snatch, and clean & jerk determined placement.  Ties broken by lightest bodyweight.",na,,,
925716,"Long Jump - Olympic Elementary School Championship (St. Louis), Boys",1904 Summer Olympics,3,Athletics,/editions/3/sports/ATH,30 May 1904,"Francis Field, Washington University, St. Louis",3 from 1 countries,na,na,,,
59745,"3,000 metres Steeplechase, Men",1960 Summer Olympics,15,Athletics,/editions/15/sports/ATH,1 –  3 September 1960,"Stadio Olimpico, Roma",32 from 20 countries,na,na,,,
19019721,"Sprint (Freestyle), Women",2022 Winter Olympics,62,Cross Country Skiing,/editions/62/sports/CCS, 8 February 2022,"Zhangjiakou Nordic Centre and Biathlon Centre, Chongli District, Zhangjiakou City, Hebei Province",90 from 34 countries,Final standings based on time achieved in last round competed in.,"Course Length: 1,176 mHeight Differential: 27 mMaximum Climb: 25 mTotal Climbing: 43 m",,,
42764,"Doubles, Men",2004 Summer Olympics,26,Badminton,/editions/26/sports/BDM,15 – 20 August 2004,"Olympiako Gymnastirio Goudiou, Olympiako Syngrotima Goudiou, Athina",44 from 14 countries,Single-elimination tournament.,na,,,
260644,"Half-Lightweight (≤52 kilograms), Women",2008 Summer Olympics,53,Judo,/editions/53/sports/JUD,10 August 2008 — 12:00,"Beijing Keji Daxue Tiyuguan, Beijing",22 from 22 countries,"Two single-elimination pools, with winner of each pool advanced to the final. All judoka losing to the finalists in each pool advanced to repêchage pools, with the winners of the repêchage pools earning bronze medals.",na,,,
255315,"Kayak Fours, 1,000 metres, Men",1968 Summer Olympics,17,Canoe Sprint,/editions/17/sports/CSP,22 – 25 October 1968,"Pista Olímpico Virgilio Uribe, Canal de Cuemanco, Xochimilco",76 from 19 countries,na,na,,,
926207,"56-pound Weight Throw - Anthropological Days (Cocopah), Men",1904 Summer Olympics,3,Athletics,/editions/3/sports/ATH,12 – 13 August 1904,"Francis Field, Washington University, St. Louis",3 from 2 countries,na,na,,,
356868,"Sprint, Women",2016 Summer Olympics,59,Cycling Track,/editions/59/sports/CTR,14 – 16 August 2016,"Velódromo Olímpico do Rio, Parque Olímpico da Barra, Barra da Tijuca, Rio de Janeiro",27 from 17 countries,"Qualifying over 3½ laps, or 875 metres. Match races over 3 laps, or 750 metres.",na,,,
158610,"Coxless Fours, Men",1972 Summer Olympics,18,Rowing,/editions/18/sports/ROW,27 August –  2 September 1972,"Olympia-Regattastrecke, Oberschleißheim, München",80 from 20 countries,na,na,,,
64801,"High Jump, Men",1996 Summer Olympics,24,Athletics,/editions/24/sports/ATH,26 – 28 July 1996,"Centennial Olympic Stadium, Atlanta, Georgia",37 from 27 countries,na,na,,,
351000,"Olympic Distance, Men",2016 Summer Olympics,59,Triathlon,/editions/59/sports/TRI,18 August 2016 — 11:00,"Forte de Copacabana, Copacabana, Rio de Janeiro",55 from 31 countries,na,na,,,
153543,"1,000 metres Time Trial, Men",1948 Summer Olympics,12,Cycling Track,/editions/12/sports/CTR,11 August 1948 — 17:00,"Herne Hill Velodrome, London",21 from 21 countries,na,na,,,
920042,"Architecture, Designs For Town Planning, Open",1936 Summer Olympics,11,Art Competitions,/editions/11/sports/ART,1 – 16 August 1936,"Ausstellungsgelände Halle VI, Kaiserdamm, Berlin",8 from 3 countries,na,na,,,
2409,"Large Hill, Individual, Men",1984 Winter Olympics,42,Ski Jumping,/editions/42/sports/SJP,18 February 1984,"Malo Polje, Igman",53 from 17 countries,"Two jumps, with both scored on distance and form.",YUG,,,
255288,"Kayak Singles, 1,000 metres, Men",1968 Summer Olympics,17,Canoe Sprint,/editions/17/sports/CSP,22 – 25 October 1968,"Pista Olímpico Virgilio Uribe, Canal de Cuemanco, Xochimilco",21 from 21 countries,na,na,,,
19020353,"Large Hill / 10 km, Individual, Men",2022 Winter Olympics,62,Nordic Combined,/editions/62/sports/NCB,15 February 2022,"Zhangjiakou Nordic Centre and Biathlon Centre, Chongli District, Zhangjiakou City, Hebei Province / Zhangjiakou National Ski Jumping Centre, Zhangjiakou City, Hebei Province",48 from 18 countries,"Large hill ski jumping (one jump) and 10 kilometres skiing. Pursuit-style cross-country race, with skiers leaving in order of their finish in the ski jumping, so that final placement determined by final placement in cross-country ski race.",na,,,
9668,"One Person Dinghy (Finn), Open",1960 Summer Olympics,15,Sailing,/editions/15/sports/SAL,29 August –  7 September 1960,Golfo di Napoli (Campo Azzurro),35 from 35 countries,Points awarded for placement in each race.  Best six of seven scores to count for final placement.,na,,,
51789,"Air Rifle, 10 metres, Men",1988 Summer Olympics,22,Shooting,/editions/22/sports/SHO,20 September 1988 — 12:30,"Taeneung International Shooting Range, Seoul",46 from 29 countries,na,na,,,
304000,"Singles, Men",2012 Summer Olympics,54,Badminton,/editions/54/sports/BDM,28 July –  5 August 2012,"Wembley Arena, Wembley, London",40 from 34 countries,Single-elimination tournament.,na,,,
34609,"Handball, Women",1976 Summer Olympics,19,Handball,/editions/19/sports/HBL,20 – 28 July 1976,"Centre Claude-Robillard, Montréal, Québec / Pavillon de l'Éducation Physique et des Sports de l'Université Laval, Québec, Québec / Palais des Sports, Sherbrooke, Québec",82 from 6 countries,Round-robin tournament.,na,,,
14001154,"1,500 metres, Professionals, Handicap, Men",1900 Summer Olympics,2,Athletics,/editions/2/sports/ATH, 5 July 1900,"Croix Catelan, Bois de Boulogne, Paris",9 from 2 countries,na,na,,,
350940,"Painting, Applied Arts, Open",1936 Summer Olympics,11,Art Competitions,/editions/11/sports/ART,1 – 16 August 1936,"Ausstellungsgelände Halle VI, Kaiserdamm, Berlin",19 from 8 countries,na,na,,,
81406,"Épée, Team, Men",1932 Summer Olympics,10,Fencing,/editions/10/sports/FEN,5 –  7 August 1932,"State Armory of the 160th Infantry, Olympic Park, Los Angeles, California",34 from 7 countries,na,na,,,
9413,"8 metres, Open",1932 Summer Olympics,10,Sailing,/editions/10/sports/SAL,5 –  8 August 1932,"Port of Los Angeles, Los Angeles, California",18 from 2 countries,"Four races.  Point system scoring, with yachts scoring one point for finishing a race and one point for each yacht defeated in the race.",na,,,
51932,"Free Pistol, 50 metres, Men",2000 Summer Olympics,25,Shooting,/editions/25/sports/SHO,19 September 2000 — 9:00,"Sydney International Shooting Centre, Cecil Park, New South Wales",36 from 27 countries,na,na,,,
153362,"Road Race, Team, Men",1924 Summer Olympics,8,Cycling Road,/editions/8/sports/CRD,23 July 1924,"Stade Olympique de Colombes, Colombes",60 from 15 countries,188 kilometre time trial.  Four-man teams with fastest three times to count towards the team result.,na,,,
322049,"400 metres Freestyle, Women",2012 Summer Olympics,54,Swimming,/editions/54/sports/SWM,29 July 2012,"London Aquatics Centre, Olympic Park, Stratford, London",35 from 27 countries,na,na,,,
56148,"Shot Put, Men",1904 Summer Olympics,3,Athletics,/editions/3/sports/ATH,31 August 1904,"Francis Field, Washington University, St. Louis",8 from 2 countries,Final only.,na,,,
255021,"Folding Kayak Singles, 10,000 metres, Men",1936 Summer Olympics,11,Canoe Marathon,/editions/11/sports/CMA, 7 August 1936 — 17:30,"Regattabahn, Grünau, Berlin",13 from 13 countries,Final only.,na,,,
40001,"Individual, Women",1900 Summer Olympics,2,Golf,/editions/2/sports/GLF, 3 October 1900,"Golf de Compiègne, Compiègne",10 from 3 countries,9 holes stroke play,na,,,
86533,"Épée, Individual, Men",1952 Summer Olympics,13,Fencing,/editions/13/sports/FEN,27 – 28 July 1952,"Westendin tennishalli, Espoo",76 from 29 countries,na,na,,,
930009,"Embusen (Jodo), Open",1964 Summer Olympics,16,Kendo,/editions/16/sports/KEN,15 October 1964,"Nippon Budokan, Chiyoda, Tokyo",2 from 2 countries,na,na,,,
925228,"Concours d'honneur, Men",1900 Summer Olympics,2,Fishing,/editions/2/sports/FSH,5 –  8 August 1900,"Île des Cygnes, Paris",12 from 1 countries,na,na,,,
19008455,"Coxless Pairs, Men",2020 Summer Olympics,61,Rowing,/editions/61/sports/ROW,24 – 29 July 2021,"Sea Forest Waterway, 6-44, 3chome, Uminomori, Koto-ku, Tokyo Bay, Tokyo, Japan",27 from 13 countries,na,na,,,
153181,"Tandem Sprint, 2,000 metres, Men",1908 Summer Olympics,5,Cycling Track,/editions/5/sports/CTR,13 – 15 July 1908,"White City Stadium, London",34 from 7 countries,na,na,,,
16038,"Open Class, Men",1980 Summer Olympics,20,Judo,/editions/20/sports/JUD, 2 August 1980 — 10:00-19:00,"Dvorets sporta, Tsentralny stadion imeni V. I. Lenina, Moskva",18 from 18 countries,"Two single-elimination pools, with winner of each pool advanced to the final. All judoka losing to the winner of each pool advanced to repêchage pools, with the winners of the repêchage pools earning bronze medals.",na,,,
70663,"Individual All-Around, Women",1992 Summer Olympics,23,Artistic Gymnastics,/editions/23/sports/GAR,28 – 30 July 1992,"Palau Sant Jordi, Barcelona",92 from 24 countries,na,na,,,
7739,"200 metres Individual Medley, Men",1992 Summer Olympics,23,Swimming,/editions/23/sports/SWM,31 July 1992,"Piscinas Bernat Picornell, Barcelona",56 from 41 countries,na,na,,,
50189,"Individual, Men",1980 Summer Olympics,20,Modern Pentathlon,/editions/20/sports/MPN,20 – 24 July 1980,"Konnosportivny kompleks profsoyuzov, Bittsevsky park, Moskva / Futbolny polya, Legkoatletichesky futbolny kompleks, Moskva / Strelbishche Dynamo, Mytishchi / Plavatelny basseyn, Sportivny kompleks Olimpiysky, Moskva",43 from 17 countries,Scoring by point tables.,na,,,
62593,"Javelin Throw, Women",1980 Summer Olympics,20,Athletics,/editions/20/sports/ATH,24 – 25 July 1980,"Bolshaya arena, Tsentralny stadion imeni V.I. Lenina, Moskva",21 from 14 countries,na,na,,,
6195,"400 metres Freestyle, Men",1972 Summer Olympics,18,Swimming,/editions/18/sports/SWM, 1 September 1972,"Schwimmhalle, Olympiapark, München",43 from 28 countries,na,na,,,
131322,"Super-Heavyweight, Freestyle (≤130 kilograms), Men",1992 Summer Olympics,23,Wrestling,/editions/23/sports/WRE,4 –  6 August 1992,"Instituto Nacional de Educación Física de Cataluña (INEFC), Barcelona",15 from 15 countries,Two groups (A and B).  Double elimination tournament within each group.  Top five in each group advance to placement matches for 1st-10th place.,na,,,
153131,"Sprint, 660 yards, Men",1908 Summer Olympics,5,Cycling Track,/editions/5/sports/CTR,14 – 15 July 1908,"White City Stadium, London",46 from 9 countries,na,na,,,
5887,"1,500 metres Freestyle, Men",1968 Summer Olympics,17,Swimming,/editions/17/sports/SWM,25 – 26 October 1968,"Alberca Olímpica Francisco Márquez, Ciudad de México",21 from 16 countries,na,na,,,
10404,"Multihull (Tornado), Open",1992 Summer Olympics,23,Sailing,/editions/23/sports/SAL,27 July –  3 August 1992,"Puerto Olímpico, Barcelona",44 from 22 countries,Points awarded for placement in each race.  Best six of seven scores to count for final placement.,na,,,
7890,"200 metres Breaststroke, Women",1992 Summer Olympics,23,Swimming,/editions/23/sports/SWM,27 July 1992,"Piscinas Bernat Picornell, Barcelona",39 from 28 countries,na,na,,,
64408,"800 metres, Women",1992 Summer Olympics,23,Athletics,/editions/23/sports/ATH,31 July –  3 August 1992,"Estadio Olímpico de Montjuïc, Barcelona",36 from 26 countries,na,na,,,
159388,"Quadruple Sculls, Men",1996 Summer Olympics,24,Rowing,/editions/24/sports/ROW,22 – 28 July 1996,"Lake Sidney Lanier, Gainesville, Georgia",57 from 14 countries,na,na,,,
263078,"Featherweight (≤53 kilograms), Women",2008 Summer Olympics,53,Weightlifting,/editions/53/sports/WLF,10 August 2008 — 15:30,"Beijing Hangkong Hangtian Daxue Tiyuguan, Beijing",9 from 9 countries,Total of best lifts in snatch and clean & jerk determined placement.  Ties broken by lightest bodyweight.,na,,,
